,pval_outlier
ZNF423_-_49860880.23-ENST00000262383.2-2,0.0
ZNF423_-_49860893.23-ENST00000262383.2-1,1.0
ZNF423_-_49860893.23-ENST00000262383.2-2,1.0
TFAP4_-_4322496.23-P1P2-2,1.0
TFAP4_-_4322842.23-P1P2-1,1.0
TFAP4_-_4322842.23-P1P2-2,1.0
TFAP4_-_4322853.23-P1P2-1,1.0
TFAP4_-_4322853.23-P1P2-2,1.0
MIER3_+_56247910.23-P1P2-1,1.0
MIER3_+_56247919.23-P1P2-1,1.0
MIER3_+_56247925.23-P1P2-1,1.0
MIER3_+_56247925.23-P1P2-2,1.0
EN1_+_119605170.23-P1P2-2,1.0
EN1_-_119605187.23-P1P2-1,1.0
EN1_-_119605187.23-P1P2-2,1.0
EN1_-_119605234.23-P1P2-1,1.0
EN1_-_119605234.23-P1P2-2,1.0
HOXA5_+_27183074.23-P1P2-1,1.0
HOXA5_+_27183074.23-P1P2-2,1.0
HOXA5_+_27183089.23-P1P2-1,1.0
HOXA5_+_27183089.23-P1P2-2,1.0
HOXA5_+_27183098.23-P1P2-1,1.0
HOXA5_+_27183098.23-P1P2-2,1.0
"HIVEP3_+_42166553.23-ENST00000247584.5,ENST00000429157.2-1",1.0
"HIVEP3_+_42166553.23-ENST00000247584.5,ENST00000429157.2-2",1.0
"HIVEP3_-_42166431.23-ENST00000247584.5,ENST00000429157.2-1",1.0
"HIVEP3_-_42166431.23-ENST00000247584.5,ENST00000429157.2-2",1.0
"HIVEP3_-_42166661.23-ENST00000247584.5,ENST00000429157.2-1",1.0
"HIVEP3_-_42166661.23-ENST00000247584.5,ENST00000429157.2-2",1.0
TLX3_+_170736308.23-P1P2-1,1.0
TLX3_+_170736308.23-P1P2-2,1.0
TLX3_-_170736318.23-P1P2-1,1.0
TLX3_-_170736318.23-P1P2-2,1.0
TLX3_-_170736502.23-P1P2-1,1.0
TLX3_-_170736502.23-P1P2-2,1.0
RUNX2_+_45296176.23-P1-1,1.0
RUNX2_+_45296176.23-P1-2,0.9926
RUNX2_-_45296236.23-P1-1,0.7476
RUNX2_-_45296236.23-P1-2,1.0
RUNX2_-_45296349.23-P1-1,0.0176
RUNX2_-_45296349.23-P1-2,0.1995
ZBTB38_+_141087670.23-P2-1,1.0
ZBTB38_+_141087670.23-P2-2,1.0
ZBTB38_+_141087742.23-P2-1,1.0
ZBTB38_+_141087742.23-P2-2,1.0
ZBTB38_-_141087350.23-P2-1,1.0
ZBTB38_-_141087350.23-P2-2,1.0
"PRDM2_+_14031589.23-ENST00000235372.7,ENST00000311066.5-1",1.0
"PRDM2_+_14031589.23-ENST00000235372.7,ENST00000311066.5-2",1.0
"PRDM2_+_14031681.23-ENST00000235372.7,ENST00000311066.5-1",1.0
"PRDM2_+_14031681.23-ENST00000235372.7,ENST00000311066.5-2",1.0
"PRDM2_-_14031400.23-ENST00000235372.7,ENST00000311066.5-2",1.0
ZSCAN5B_+_56704393.23-ENST00000358992.3-1,0.2771
ZSCAN5B_+_56704393.23-ENST00000358992.3-2,1.0
ZSCAN5B_-_56704304.23-ENST00000358992.3-1,0.9984
ZSCAN5B_-_56704304.23-ENST00000358992.3-2,1.0
ZSCAN5B_-_56704354.23-ENST00000358992.3-1,0.2771
ZSCAN5B_-_56704354.23-ENST00000358992.3-2,0.9854
NEUROD6_+_31380252.23-P1P2-1,1.0
NEUROD6_+_31380252.23-P1P2-2,1.0
NEUROD6_+_31380285.23-P1P2-1,1.0
NEUROD6_+_31380285.23-P1P2-2,1.0
NEUROD6_-_31379931.23-P1P2-1,1.0
NEUROD6_-_31379931.23-P1P2-2,1.0
CSRNP3_+_166326238.23-P1-1,0.8792
CSRNP3_+_166326238.23-P1-2,0.9997
CSRNP3_+_166326378.23-P1-1,1.0
CSRNP3_+_166326378.23-P1-2,1.0
CSRNP3_-_166326711.23-P1-1,0.0319
CSRNP3_-_166326711.23-P1-2,0.9731
POU2F1_-_167190147.23-P1-1,1.0
POU2F1_-_167190147.23-P1-2,1.0
POU2F1_-_167190182.23-P1-1,1.0
POU2F1_-_167190311.23-P1-2,1.0
DDIT3_-_57913815.23-P1P2-1,0.0319
DDIT3_-_57913815.23-P1P2-2,1.0
DDIT3_-_57913912.23-P1P2-1,0.2771
DDIT3_-_57913912.23-P1P2-2,0.9984
DDIT3_-_57914116.23-P1P2-1,1.0
DDIT3_-_57914116.23-P1P2-2,0.9997
POU6F1_+_51611557.23-P1P2-1,0.9999
POU6F1_+_51611791.23-P1P2-1,0.3192
POU6F1_+_51611791.23-P1P2-2,0.9912
POU6F1_-_51611654.23-P1P2-1,0.9707
POU6F1_-_51611654.23-P1P2-2,0.3192
