,index,x,y,cluster
181,NCOA6:P1P2,36.389957,66.727806,54
182,NF1:P1P2,52.296997,-16.683876,53
183,NFE2L2:P1,44.08236,14.122936,50
184,NFIA:P1P2,-12.982679,-64.27079,31
185,NFIL3:P1P2,23.183928,-56.57583,25
186,NFKBIB:P1P2,61.31676,27.997736,53
187,NFKBIE:P1P2,-9.203434,-36.367462,52
188,NFX1:P1P2,-8.130733,-98.83922,5
189,NFYB:P1P2,-61.222164,31.56827,47
190,NKX1-2:P1P2,55.77315,1.4451979,53
191,NKX2-5:P1P2,-34.029404,136.23708,28
192,NKX2-6:P1P2,-17.707367,130.03174,0
193,NKX2-8:P1P2,37.82458,-26.895603,25
194,NKX3-2:P1P2,19.105274,-95.311485,49
195,NONO:P1P2,27.573349,-104.97435,49
196,NOTCH1:P1,10.775645,-40.471478,5
197,NOTCH2:P1P2,-17.291393,114.970436,7
198,NOTO:P1P2,55.003384,-19.286749,53
199,NR1I3:P1P2,-18.131813,-13.830365,25
200,NR2F6:P1P2,27.69114,66.64224,54
201,NR3C1:P1P2,-81.61058,12.925609,47
202,NR5A2:P2,-67.26371,24.443743,47
203,NR6A1:P1P2,-53.82125,35.21116,47
204,OVOL1:P1P2,51.80394,-68.84074,5
205,OVOL2:P1P2,61.585953,30.339638,23
206,PA2G4:P1P2,-60.44975,29.530352,47
207,PAWR:P1P2,29.329863,71.973175,54
208,PAX2:P1P2,0.7874313,-30.947187,31
209,PAX7:P1P2,35.020504,-9.090581,31
210,PBX1:P1P2,-54.338566,37.613926,47
211,PBX2:P1P2,65.58941,-80.18469,52
212,PCGF2:P1,-27.03527,133.30583,7
213,PCGF6:P1P2,-77.64479,111.99037,29
214,PHF21A:P1P2,-8.414115,120.067986,51
215,PHF2:P1P2,-27.364416,-69.01952,31
216,PIAS4:P1P2,-31.921373,98.64309,4
217,PIN1:P1P2,56.19921,-88.80466,52
218,PITX2:P1,60.35792,-91.89334,30
219,PLAGL1:P1,105.997635,-24.157797,23
220,PLAGL2:P1P2,4.584252,134.68773,44
221,POGK:P1P2,46.51379,-6.1293054,25
222,POU5F1B:P1P2,-20.188984,-64.92276,31
223,PPARG:P2,36.46961,-43.27166,23
224,PPP1R13L:P1,-16.829891,-68.057526,31
225,PRDM15:P1P2,-59.949142,64.38087,4
226,PREB:P1P2,-34.316795,111.5259,0
227,PRKRIR:P1P2,101.43916,-32.7187,23
228,PROX1:P1P2,-47.580456,37.290516,54
229,PRR12:P1P2,-10.334707,-7.1503487,24
230,PRRX2:P1P2,3.059087,-32.22725,5
231,PSIP1:P1P2,-54.249653,62.35035,4
232,PURA:P2,14.895698,-35.551407,25
233,RARA:P1,-24.070017,91.49813,0
234,RARB:P1P2,51.20942,-24.283628,53
235,RARG:P1,-32.148777,-68.27775,31
236,RB1:P1P2,-25.27297,-8.071291,47
237,RB1CC1:P1,98.18729,-28.973148,53
238,RBL2:P1,48.003113,64.44615,51
239,RBPJ:P1P2,59.054092,-20.54838,31
240,RBPJL:P1P2,-8.02902,-102.62415,5
241,RCOR1:P1P2,-3.8147964,123.49262,7
242,RCOR2:P1P2,-81.634766,120.56487,32
243,RFX3:P1P2,-22.455153,2.147924,53
244,RFX7:P1P2,30.835548,73.733894,54
245,RFXAP:P1P2,-62.568237,-35.052048,50
246,RLF:P1P2,23.049397,-6.6644416,50
247,RNF2:P1P2,-29.641502,136.42162,10
248,RREB1:P1P2,-69.43128,24.454235,5
249,RUNX2:P2,104.38547,-81.30079,52
250,RXRA:P1P2,92.01063,-16.500525,23
251,SALL2:P1P2,6.138059,79.92515,54
252,SETDB1:P1P2,-53.19462,113.11328,33
253,SIRT6:P1P2,-56.76304,38.144104,4
254,SKI:ENST00000378536.4,67.64276,-41.707893,34
255,SMAD2:P1P2,-58.95296,98.92096,35
256,SMAD3:P1P2,-59.944817,99.95621,35
257,SMAD4:P1P2,-41.992973,77.87738,0
258,SMAD5:P1P2,-40.406704,79.61852,36
259,SMAD6:P1P2,21.323587,65.31197,54
260,SMARCA4:P1P2,-61.606846,101.63574,37
261,SNAI1:P1P2,-40.87364,75.81578,38
262,SNAI2:P1P2,-6.4494267,121.78195,51
263,SOX10:P1P2,98.36547,-39.527573,52
264,SOX11:P1P2,-79.38697,120.35018,39
265,SOX12:P1P2,-53.91816,64.99692,4
266,SOX2:P1P2,19.512585,23.12415,53
267,SOX4:P1,-39.402573,88.3252,40
268,SP1:P1P2,83.75907,-5.3377786,53
269,SP4:P1P2,-51.171776,-14.522872,31
270,SP8:P1P2,10.521461,-105.993164,5
271,SPEN:P1P2,2.084723,-72.13065,31
272,SS18:P1P2,-29.129276,-64.74269,31
273,SUPT4H1:P1P2,-15.730765,131.18114,0
274,TADA2B:P1P2,56.760487,-59.943638,41
275,TADA3:P1P2,20.365574,-51.48623,5
276,TAF10:P1P2,59.19123,-46.646034,52
