,gRNA_name,status
200,CDK9_+_130548620.23-P1P2-2,annotation_only
201,CDK9_-_130548401.23-P1P2-1,annotation_only
202,CDX1_+_149546553.23-P1P2-1,annotation_only
203,CDX1_-_149546625.23-P1P2-1,annotation_only
204,CDX2_+_28543276.23-P1P2-2,annotation_only
205,CDX2_-_28543392.23-P1P2-1,annotation_only
206,CDX2_-_28543416.23-P1P2-2,annotation_only
207,CEBPB_+_48807797.23-P1P2-1,annotation_only
208,CEBPB_+_48807797.23-P1P2-2,annotation_only
209,CEBPB_+_48807925.23-P1P2-1,annotation_only
210,CEBPB_+_48807925.23-P1P2-2,annotation_only
211,CEBPD_-_48650686.23-P1P2-2,annotation_only
212,CEBPE_+_23588259.23-P1P2-2,annotation_only
213,CEBPG_+_33864675.23-P1P2-2,annotation_only
214,CEBPG_-_33864240.23-P1P2-1,annotation_only
215,CEBPG_-_33864240.23-P1P2-2,annotation_only
216,CEBPZ_+_37458499.23-P1P2-1,annotation_only
217,CEBPZ_+_37458499.23-P1P2-2,annotation_only
218,CEBPZ_+_37458502.23-P1P2-1,annotation_only
219,CEBPZ_+_37458649.23-P1P2-2,annotation_only
220,CENPA_+_27008992.23-P2-1,annotation_only
221,CENPA_+_27008992.23-P2-2,annotation_only
222,CENPA_-_27008953.23-P2-1,annotation_only
223,CENPA_-_27008953.23-P2-2,annotation_only
224,CENPA_-_27008960.23-P2-1,annotation_only
225,CENPA_-_27008960.23-P2-2,annotation_only
226,CENPBD1_-_90038885.23-P1P2-2,annotation_only
227,CENPB_-_3767305.23-P1P2-1,annotation_only
228,CENPB_-_3767398.23-P1P2-1,annotation_only
229,CENPT_-_67867747.23-P1P2-1,annotation_only
230,CENPT_-_67867747.23-P1P2-2,annotation_only
231,CENPT_-_67867753.23-P1P2-1,annotation_only
232,CENPT_-_67867753.23-P1P2-2,annotation_only
233,CENPT_-_67867769.23-P1P2-1,annotation_only
234,CENPT_-_67867769.23-P1P2-2,annotation_only
235,CGGBP1_+_88108082.23-P1-1,annotation_only
236,CGGBP1_+_88108091.23-P1-1,annotation_only
237,CGGBP1_+_88108091.23-P1-2,annotation_only
238,CGGBP1_-_88108169.23-P1-1,annotation_only
239,CGGBP1_-_88108169.23-P1-2,annotation_only
240,CHCHD3_-_132766538.23-P1P2-1,annotation_only
241,CHCHD3_-_132766538.23-P1P2-2,annotation_only
242,CHD7_-_61591579.23-P1P2-2,annotation_only
243,CHMP2A_+_59066294.23-P1P2-1,annotation_only
244,CHMP2A_+_59066294.23-P1P2-2,annotation_only
245,CHMP2A_+_59066420.23-P1P2-1,annotation_only
246,CHMP2A_+_59066420.23-P1P2-2,annotation_only
247,CHMP2A_-_59066282.23-P1P2-1,annotation_only
248,CHMP2A_-_59066282.23-P1P2-2,annotation_only
249,CIC_+_42788691.23-P1P2-1,annotation_only
250,CIC_-_42788145.23-P1P2-1,annotation_only
251,CIC_-_42788145.23-P1P2-2,annotation_only
252,CIC_-_42788703.23-P1P2-1,annotation_only
253,CIR1_+_175260410.23-P1P2-2,annotation_only
254,CIR1_-_175260004.23-P1P2-1,annotation_only
255,CIR1_-_175260004.23-P1P2-2,annotation_only
256,CIR1_-_175260377.23-P1P2-1,annotation_only
257,CIZ1_-_130953833.23-P1P2-1,annotation_only
258,CIZ1_-_130953863.23-P1P2-1,annotation_only
259,CIZ1_-_130953863.23-P1P2-2,annotation_only
260,CLOCK_-_56412950.23-P1P2-1,annotation_only
261,CNBP_+_128902710.23-P1P2-2,annotation_only
262,CNOT7_-_17104160.23-P1P2-2,annotation_only
263,CNOT8_+_154238243.23-P1P2-1,annotation_only
264,CNOT8_-_154238211.23-P1P2-2,annotation_only
265,COX20_-_244998993.23-P1P2-1,annotation_only
266,COX20_-_244998993.23-P1P2-2,annotation_only
267,CPEB1_+_83296760.23-ENST00000562019.1-1,annotation_only
268,CPEB1_+_83296760.23-ENST00000562019.1-2,annotation_only
269,CPEB1_+_83297166.23-ENST00000562019.1-1,annotation_only
270,CPEB1_+_83297166.23-ENST00000562019.1-2,annotation_only
271,CPEB1_-_83296774.23-ENST00000562019.1-1,annotation_only
272,CPEB1_-_83296774.23-ENST00000562019.1-2,annotation_only
273,CPEB1_-_83316370.23-ENST00000568128.1-2,annotation_only
274,CRAMP1L_+_1664374.23-P2-1,annotation_only
275,CRAMP1L_-_1662423.23-P1-1,annotation_only
276,CRAMP1L_-_1664232.23-P2-2,annotation_only
277,CREB3L3_+_4153776.23-P1P2-1,annotation_only
278,CREB3L3_-_4153716.23-P1P2-1,annotation_only
279,CREB5_-_28452323.23-ENST00000357727.2-2,annotation_only
280,CREB5_-_28475286.23-ENST00000396300.2-2,annotation_only
281,CREB5_-_28475622.23-ENST00000396300.2-2,annotation_only
282,CREBBP_+_3930181.23-P1P2-1,annotation_only
283,CREBBP_+_3930181.23-P1P2-2,annotation_only
284,CREBBP_-_3930644.23-P1P2-1,annotation_only
285,CREBRF_+_172483464.23-P1-1,annotation_only
286,CREM_+_35416276.23-ENST00000395895.2-1,annotation_only
287,CREM_+_35416276.23-ENST00000395895.2-2,annotation_only
288,CREM_-_35416252.23-ENST00000395895.2-1,annotation_only
289,CREM_-_35416252.23-ENST00000395895.2-2,annotation_only
290,CREM_-_35416286.23-ENST00000395895.2-1,annotation_only
291,CRTC1_-_18794575.23-P1P2-2,annotation_only
292,CRTC2_+_153930757.23-P1P2-1,annotation_only
293,CRTC3_+_91073181.23-P1P2-2,annotation_only
294,CRTC3_-_91073212.23-P1P2-1,annotation_only
295,CRTC3_-_91073212.23-P1P2-2,annotation_only
296,CRTC3_-_91073244.23-P1P2-1,annotation_only
297,CRTC3_-_91073244.23-P1P2-2,annotation_only
298,CRX_+_48325214.23-P1P2-2,annotation_only
299,CSRNP2_+_51477144.23-P1P2-1,annotation_only
300,CSRNP2_+_51477144.23-P1P2-2,annotation_only
301,CSRNP2_+_51477349.23-P1P2-2,annotation_only
302,CTBP1_+_1242702.23-P1P2-2,annotation_only
303,CTBP1_+_1242862.23-P1P2-1,annotation_only
304,CTBP1_+_1242862.23-P1P2-2,annotation_only
305,CTBP1_-_1242749.23-P1P2-2,annotation_only
306,CTBP2_+_126849556.23-P1P2-2,annotation_only
307,CTBP2_-_126849603.23-P1P2-2,annotation_only
308,CTCFL_-_56100074.23-P1P2-2,annotation_only
309,CTCF_+_67596356.23-P1P2-1,annotation_only
310,CTCF_+_67596356.23-P1P2-2,annotation_only
311,CTCF_+_67596929.23-P1P2-1,annotation_only
312,CTCF_+_67596929.23-P1P2-2,annotation_only
313,CTNNB1_+_41241174.23-P1P2-1,annotation_only
314,CTNNB1_+_41241174.23-P1P2-2,annotation_only
315,CTNNB1_+_41241179.23-P1P2-1,annotation_only
316,CTNNB1_+_41241179.23-P1P2-2,annotation_only
317,CTNNB1_-_41241041.23-P1P2-2,annotation_only
318,CUX1_+_101459241.23-P1P2-2,annotation_only
319,CUX2_-_111471563.23-P1P2-2,annotation_only
320,CXXC1_+_47813845.23-P1P2-1,annotation_only
321,CXXC1_+_47813845.23-P1P2-2,annotation_only
322,CXXC1_+_47813875.23-P1P2-1,annotation_only
323,CXXC1_-_47814029.23-P1P2-1,annotation_only
324,CXXC1_-_47814029.23-P1P2-2,annotation_only
325,CXXC5_+_139028509.23-P1P2-1,annotation_only
326,CXXC5_-_139027980.23-P1P2-1,annotation_only
327,CXXC5_-_139028036.23-P1P2-2,annotation_only
328,DACH1_-_72440975.23-P1P2-1,annotation_only
329,DACH1_-_72440975.23-P1P2-2,annotation_only
330,DACH1_-_72441040.23-P1P2-1,annotation_only
331,"DACH2_+_85403677.23-ENST00000373125.4,ENST00000373131.1-2",annotation_only
332,DAXX_+_33290608.23-P1-1,annotation_only
333,DAXX_+_33290608.23-P1-2,annotation_only
334,DAXX_+_33290646.23-P1-1,annotation_only
335,DAXX_+_33290646.23-P1-2,annotation_only
336,DAXX_+_33290668.23-P1-1,annotation_only
337,DBP_-_49140602.23-P1P2-2,annotation_only
338,DDB1_+_61100555.23-P1-1,annotation_only
339,DDB1_-_61100183.23-P1-2,annotation_only
340,DEAF1_+_695054.23-P1P2-1,annotation_only
341,DEAF1_+_695054.23-P1P2-2,annotation_only
342,DEK_+_18264558.23-P1P2-2,annotation_only
343,DENND4A_+_66084572.23-P1P2-1,annotation_only
344,DHX9_+_182808499.23-P1P2-1,annotation_only
345,DHX9_+_182808499.23-P1P2-2,annotation_only
346,DHX9_+_182808934.23-P1P2-2,annotation_only
347,DLX2_-_172967613.23-P1P2-1,annotation_only
348,DLX4_-_48045986.23-P1P2-2,annotation_only
349,DLX6_+_96635495.23-P1P2-2,annotation_only
350,DMAP1_+_44679189.23-P1P2-1,annotation_only
351,DMAP1_+_44679387.23-P1P2-1,annotation_only
352,DMAP1_+_44679387.23-P1P2-2,annotation_only
353,DMAP1_-_44679204.23-P1P2-1,annotation_only
354,DMAP1_-_44679204.23-P1P2-2,annotation_only
355,DMBX1_-_46972351.23-P1P2-1,annotation_only
356,DMBX1_-_46972351.23-P1P2-2,annotation_only
357,DMBX1_-_46972848.23-P1P2-1,annotation_only
358,DMBX1_-_46972848.23-P1P2-2,annotation_only
359,DMRT1_+_841775.23-P1P2-2,annotation_only
360,DMRT2_+_1050391.23-P1P2-2,annotation_only
361,DMRTC2_+_42349214.23-P1P2-1,annotation_only
362,DMRTC2_+_42349214.23-P1P2-2,annotation_only
363,DMRTC2_+_42349304.23-P1P2-1,annotation_only
364,DMRTC2_+_42349304.23-P1P2-2,annotation_only
365,DNAJC1_+_22292386.23-P1P2-2,annotation_only
366,DNAJC1_-_22292641.23-P1P2-2,annotation_only
367,DNAJC21_+_34929710.23-P1P2-1,annotation_only
368,DNAJC21_+_34929710.23-P1P2-2,annotation_only
369,DNAJC21_+_34929742.23-P1P2-1,annotation_only
370,DNAJC21_+_34930130.23-P1P2-1,annotation_only
371,DNAJC21_+_34930130.23-P1P2-2,annotation_only
372,DNAJC2_-_102984780.23-P1P2-1,annotation_only
373,DNAJC2_-_102984780.23-P1P2-2,annotation_only
374,DNAJC2_-_102984919.23-P1P2-1,annotation_only
375,DNAJC2_-_102984919.23-P1P2-2,annotation_only
376,DNAJC2_-_102985195.23-P1P2-1,annotation_only
377,DNAJC2_-_102985195.23-P1P2-2,annotation_only
378,DNMT1_-_10305534.23-P1P2-1,annotation_only
379,DNMT1_-_10305579.23-P1P2-1,annotation_only
380,DNMT1_-_10305579.23-P1P2-2,annotation_only
381,DNMT1_-_10305582.23-P1P2-1,annotation_only
382,DNMT1_-_10305582.23-P1P2-2,annotation_only
383,DNTTIP1_-_44420698.23-P1P2-1,annotation_only
384,DOT1L_-_2163964.23-P1P2-1,annotation_only
385,DOT1L_-_2163964.23-P1P2-2,annotation_only
386,DPF1_-_38719897.23-P1-1,annotation_only
387,DPF2_-_65101346.23-P1-1,annotation_only
388,DPF2_-_65101520.23-P1-2,annotation_only
389,DPF3_-_73360352.23-P1P2-1,annotation_only
390,DPRX_+_54135494.23-ENST00000376650.1-2,annotation_only
391,DR1_+_93811540.23-P1P2-1,annotation_only
392,DR1_+_93811540.23-P1P2-2,annotation_only
393,DR1_+_93811837.23-P1P2-1,annotation_only
394,DR1_+_93811837.23-P1P2-2,annotation_only
395,DR1_+_93811851.23-P1P2-1,annotation_only
396,DR1_+_93811851.23-P1P2-2,annotation_only
397,DZIP1_+_96296915.23-P1P2-1,annotation_only
398,E2F1_+_32273794.23-P1P2-1,annotation_only
399,E2F1_-_32274108.23-P1P2-1,annotation_only
400,E2F2_-_23857665.23-P1P2-1,annotation_only
401,E2F3_+_20403871.23-P2-1,annotation_only
402,E2F3_+_20403871.23-P2-2,annotation_only
403,E2F3_-_20403886.23-P2-2,annotation_only
404,E2F3_-_20404087.23-P2-1,annotation_only
405,E2F3_-_20404087.23-P2-2,annotation_only
406,E2F4_-_67226070.23-P1P2-2,annotation_only
407,E2F4_-_67226337.23-P1P2-1,annotation_only
408,E2F4_-_67226567.23-P1P2-2,annotation_only
409,E4F1_+_2273941.23-P1P2-2,annotation_only
410,E4F1_-_2273644.23-P1P2-1,annotation_only
411,E4F1_-_2273644.23-P1P2-2,annotation_only
412,E4F1_-_2273656.23-P1P2-1,annotation_only
413,E4F1_-_2273656.23-P1P2-2,annotation_only
414,EBF1_+_158526903.23-P1P2-1,annotation_only
415,EBF1_-_158526183.23-P1P2-2,annotation_only
416,EBF1_-_158526868.23-P1P2-2,annotation_only
417,EBF3_+_131762519.23-P1P2-2,annotation_only
418,EBF3_-_131762497.23-P1P2-1,annotation_only
419,EBF4_+_2673421.23-P1P2-1,annotation_only
420,EBF4_+_2673421.23-P1P2-2,annotation_only
421,EBF4_-_2673448.23-P1P2-1,annotation_only
422,EBF4_-_2673622.23-P1P2-1,annotation_only
423,EBF4_-_2673622.23-P1P2-2,annotation_only
424,EGR1_+_137801586.23-P1-1,annotation_only
425,EGR1_+_137801586.23-P1-2,annotation_only
426,EGR1_+_137801610.23-P1-1,annotation_only
427,EGR2_+_64575812.23-P1P2-1,annotation_only
428,EGR3_+_22550955.23-P1P2-2,annotation_only
429,EGR3_-_22550546.23-P1P2-2,annotation_only
430,EHF_+_34642677.23-P1P2-1,annotation_only
431,ELF2_-_140098334.23-P1P2-1,annotation_only
432,ELF3_+_201979810.23-P1P2-2,annotation_only
433,ELF4_-_129244789.23-P1P2-1,annotation_only
434,ELF4_-_129244793.23-P1P2-1,annotation_only
435,ELF5_-_34535238.23-P1P2-1,annotation_only
436,ELK1_-_47509921.23-P1P2-1,annotation_only
437,ELK1_-_47510006.23-P1P2-1,annotation_only
438,ELMSAN1_+_74226762.23-P1-2,annotation_only
439,ELMSAN1_-_74253843.23-P2-1,annotation_only
440,ELP3_-_27950720.23-P1P2-1,annotation_only
441,ELP3_-_27950720.23-P1P2-2,annotation_only
442,ELP3_-_27950723.23-P1P2-1,annotation_only
443,ELP3_-_27950723.23-P1P2-2,annotation_only
444,ELP3_-_27950877.23-P1P2-1,annotation_only
445,ELP3_-_27950877.23-P1P2-2,annotation_only
446,EMX1_+_73144756.23-P1-1,annotation_only
447,EMX1_+_73144756.23-P1-2,annotation_only
448,EMX1_-_73143487.23-P2-2,annotation_only
449,EMX1_-_73144739.23-P1-1,annotation_only
450,EMX1_-_73144739.23-P1-2,annotation_only
451,EN1_+_119605170.23-P1P2-1,annotation_only
452,ENO1_+_8938344.23-P1P2-1,annotation_only
453,ENO1_+_8938344.23-P1P2-2,annotation_only
454,ENO1_+_8938733.23-P1P2-1,annotation_only
455,ENO1_+_8938733.23-P1P2-2,annotation_only
456,ENO1_-_8938674.23-P1P2-1,annotation_only
457,ENO1_-_8938674.23-P1P2-2,annotation_only
458,EOMES_+_27763326.23-P1P2-2,annotation_only
459,EOMES_+_27763356.23-P1P2-2,annotation_only
460,EOMES_-_27763724.23-P1P2-2,annotation_only
461,EP300_-_41487921.23-P1P2-1,annotation_only
462,EP400_+_132434542.23-P1P2-1,annotation_only
463,EP400_-_132434574.23-P1P2-1,annotation_only
464,EP400_-_132434574.23-P1P2-2,annotation_only
465,EP400_-_132434591.23-P1P2-1,annotation_only
466,EPAS1_+_46524594.23-P1P2-2,annotation_only
467,ERCC2_+_45873783.23-P1P2-1,annotation_only
468,ERCC2_+_45873783.23-P1P2-2,annotation_only
469,ERCC2_+_45873802.23-P1P2-1,annotation_only
470,ERCC2_+_45873802.23-P1P2-2,annotation_only
471,ERCC2_-_45873576.23-P1P2-1,annotation_only
472,ERCC2_-_45873576.23-P1P2-2,annotation_only
473,ERCC3_+_128051465.23-P1P2-1,annotation_only
474,ERCC3_+_128051465.23-P1P2-2,annotation_only
475,ERCC3_-_128051508.23-P1P2-1,annotation_only
476,ERCC3_-_128051508.23-P1P2-2,annotation_only
477,ERCC3_-_128051699.23-P1P2-1,annotation_only
478,ERCC3_-_128051699.23-P1P2-2,annotation_only
479,ERCC6_+_50746795.23-P1P2-1,annotation_only
480,ERF_+_42759202.23-P1P2-1,annotation_only
481,ERF_+_42759211.23-P1P2-1,annotation_only
482,ERF_+_42759259.23-P1P2-1,annotation_only
483,ERF_+_42759259.23-P1P2-2,annotation_only
484,ERG_+_40032879.23-P2-2,annotation_only
485,ERG_-_40032714.23-P2-1,annotation_only
486,ERG_-_40032714.23-P2-2,annotation_only
487,ERG_-_40032850.23-P2-1,annotation_only
488,ERG_-_40032850.23-P2-2,annotation_only
489,ESR1_+_152128836.23-P2-1,annotation_only
490,ESR2_+_64760839.23-P1P2-1,annotation_only
