,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
PGBD1:P1P2,1025,targeting,2.643310546875,0.115,2.06298828125,0.263,2.306396484375,0.163,2.46826171875,0.109,1.6773681640625,0.388,2.85888671875,0.067,1.818359375,0.285,2.16552734375,0.223,2.1641845703125,0.204,2.6063232421875,0.116,2.572021484375,0.11,1.7176513671875,0.377,2.900146484375,0.074,3.22900390625,0.041,1.9068603515625,0.316,2.864501953125,0.063,2.685546875,0.112,2.1187744140625,0.207,2.5330810546875,0.132,2.700439453125,0.096,2.399981689453125,0.17304999999999998,0.7618033006209861,0.3802079282950212
HAND1:P1P2,2000,targeting,18.9073486328125,0.0,20.0855712890625,0.0,19.5277099609375,0.0,18.8057861328125,0.0,21.2410888671875,0.0,18.336669921875,0.0,18.49365234375,0.0,19.833251953125,0.0,18.7225341796875,0.0,19.5902099609375,0.0,17.975341796875,0.0,19.4053955078125,0.0,17.4395751953125,0.0,18.01708984375,0.0,21.3719482421875,0.0,19.8909912109375,0.0,17.02783203125,0.0,21.5499267578125,0.0,19.9609375,0.0,18.033935546875,0.0,19.21083984375,0.0,5.0,1.2835463514069034
ISL1:P2,324,targeting,6.79541015625,0.077,5.9219970703125,0.149,6.815673828125,0.087,7.660400390625,0.047,7.4425048828125,0.054,7.8603515625,0.04,5.867919921875,0.151,5.789794921875,0.162,6.7984619140625,0.094,7.7908935546875,0.057,6.287841796875,0.126,6.8438720703125,0.077,5.901611328125,0.14,6.578857421875,0.082,7.8721923828125,0.06,6.3095703125,0.098,5.810302734375,0.153,6.6939697265625,0.089,5.64306640625,0.19,5.217529296875,0.211,6.595111083984375,0.1072,0.9697647039877553,0.8192221149324449
ZNF407:ENST00000299687.5,645,targeting,1.75048828125,0.703,1.3319091796875,0.894,1.48095703125,0.826,1.39892578125,0.865,0.9949951171875,0.984,1.619140625,0.701,1.701416015625,0.702,1.955322265625,0.59,1.5037841796875,0.818,1.3648681640625,0.86,2.042724609375,0.562,0.9903564453125,0.958,2.12158203125,0.464,2.169189453125,0.446,1.1837158203125,0.946,2.1865234375,0.431,2.394287109375,0.354,1.2874755859375,0.864,2.291015625,0.46,2.198974609375,0.448,1.698382568359375,0.6938,0.1587594448895758,0.23003552372495592
ELK1:P1P2,287,targeting,6.7181396484375,0.135,6.039794921875,0.197,6.9647216796875,0.128,7.7799072265625,0.061,7.612548828125,0.076,7.2528076171875,0.093,6.8631591796875,0.115,6.1038818359375,0.196,6.594970703125,0.131,6.453857421875,0.133,6.8436279296875,0.134,7.0528564453125,0.108,6.2266845703125,0.153,6.5701904296875,0.138,8.296142578125,0.064,6.1204833984375,0.167,5.3372802734375,0.238,6.097900390625,0.155,5.7755126953125,0.24,5.0714111328125,0.278,6.5887939453125,0.147,0.8326531224143646,0.8188059258487893
CIR1:P1P2,13,targeting,89.234619140625,0.396,83.9263916015625,0.414,83.6005859375,0.41,89.37841796875,0.398,82.0860595703125,0.414,87.02490234375,0.393,85.76904296875,0.357,86.29736328125,0.43,84.1370849609375,0.419,81.1934814453125,0.469,90.058837890625,0.376,81.2552490234375,0.392,90.55322265625,0.351,88.04248046875,0.342,74.5191650390625,0.568,85.617919921875,0.412,90.509765625,0.378,79.5877685546875,0.48,89.798583984375,0.432,87.175537109375,0.393,85.48832397460937,0.4112000000000001,0.38593633250496995,1.9319068026852482
PRDM4:P1P2,725,targeting,3.6253662109375,0.092,3.1865234375,0.145,3.6236572265625,0.065,3.2869873046875,0.117,2.486328125,0.25,3.9805908203125,0.046,2.2679443359375,0.349,3.1851806640625,0.122,3.4095458984375,0.092,4.0426025390625,0.043,3.7181396484375,0.081,2.540771484375,0.225,3.6241455078125,0.069,3.7205810546875,0.071,4.0263671875,0.058,3.5511474609375,0.069,3.4617919921875,0.1,3.532470703125,0.078,3.9068603515625,0.063,3.6351318359375,0.062,3.440606689453125,0.10985,0.95916040531466,0.5366350293884479
ZNF692:P1P2,407,targeting,6.291748046875,0.048,5.3118896484375,0.124,4.8114013671875,0.142,5.89501953125,0.064,5.6290283203125,0.09,5.255126953125,0.092,4.653564453125,0.152,5.01513671875,0.11,4.80908203125,0.146,4.8521728515625,0.14,6.32470703125,0.058,5.1815185546875,0.11,5.6531982421875,0.067,5.681640625,0.079,5.741943359375,0.079,4.26513671875,0.187,4.594970703125,0.168,3.9007568359375,0.281,5.5927734375,0.093,4.2197265625,0.215,5.184027099609375,0.12225,0.9127156085462386,0.7146672631518987
ZNF468:P1P2,370,targeting,9.754638671875,0.011,9.8458251953125,0.006,9.134033203125,0.015,10.326171875,0.006,10.4879150390625,0.004,8.89013671875,0.015,7.72412109375,0.037,9.36962890625,0.01,9.7730712890625,0.013,10.4588623046875,0.005,9.52880859375,0.01,10.2061767578125,0.009,6.841796875,0.053,7.573486328125,0.043,12.6280517578125,0.005,7.8232421875,0.032,6.817626953125,0.05,9.0718994140625,0.017,8.45654296875,0.03,6.81884765625,0.044,9.076544189453125,0.020749999999999998,1.6827726508235799,0.9579205263701874
ANKZF1:P1P2,473,targeting,7.2373046875,0.015,6.42822265625,0.027,6.0318603515625,0.029,7.6634521484375,0.01,7.15625,0.014,6.5477294921875,0.019,6.1478271484375,0.035,7.2012939453125,0.016,6.706298828125,0.017,6.3828125,0.026,7.8365478515625,0.008,6.801025390625,0.013,5.8328857421875,0.045,5.5628662109375,0.048,8.067626953125,0.013,5.4425048828125,0.048,5.7623291015625,0.043,5.13427734375,0.076,6.7523193359375,0.023,4.7535400390625,0.078,6.47244873046875,0.03015,1.5205686628022637,0.8110686189890729
ZNF283:P1P2,851,targeting,2.372314453125,0.257,1.8216552734375,0.492,2.39111328125,0.243,2.44921875,0.216,1.7349853515625,0.474,3.016845703125,0.101,2.7529296875,0.129,2.092529296875,0.35,2.0167236328125,0.374,2.6978759765625,0.168,2.71435546875,0.186,2.2144775390625,0.286,3.275146484375,0.087,2.83056640625,0.133,2.0247802734375,0.39,2.422607421875,0.213,3.502197265625,0.062,2.2401123046875,0.273,2.071533203125,0.381,3.159423828125,0.097,2.490069580078125,0.24560000000000004,0.6097539548907785,0.3962114827671346
